id,relation_type,from_id,to_id,properties_json,review_status
relation:passage:cusanus:1-4:discusses:absolute,DISCUSSES,passage:cusanus:ddi:1.4:la,concept:absolute,"{""extraction_method"":""curated"",""confidence"":0.9,""review_status"":""reviewed""}",reviewed
relation:passage:hegel:being:discusses:being,DISCUSSES,passage:hegel:wl:being:de,concept:being,"{""extraction_method"":""curated"",""confidence"":0.95,""review_status"":""reviewed""}",reviewed
relation:passage:hegel:being:discusses:nothing,DISCUSSES,passage:hegel:wl:being:de,concept:nothing,"{""extraction_method"":""curated"",""confidence"":0.95,""review_status"":""reviewed""}",reviewed
relation:passage:hegel:being:discusses:becoming,DISCUSSES,passage:hegel:wl:being:de,concept:becoming,"{""extraction_method"":""curated"",""confidence"":1.0,""review_status"":""reviewed""}",reviewed
relation:passage:hegel:being-en:discusses:becoming,DISCUSSES,passage:hegel:wl:being:en,concept:becoming,"{""extraction_method"":""editorial"",""confidence"":1.0,""review_status"":""curated""}",curated
relation:passage:hegel:being-ru:discusses:becoming,DISCUSSES,passage:hegel:wl:being:ru,concept:becoming,"{""extraction_method"":""editorial"",""confidence"":1.0,""review_status"":""curated""}",curated
relation:passage:frank:meta:discusses:unknowable,DISCUSSES,passage:frank:nepostizhimoe:meta:ru,concept:unknowable,"{""extraction_method"":""bibliographic_note"",""confidence"":0.8,""review_status"":""reviewed""}",reviewed
relation:passage:frank:en:discusses:unknowable,DISCUSSES,passage:frank:nepostizhimoe:summary:en,concept:unknowable,"{""extraction_method"":""editorial"",""confidence"":0.9,""review_status"":""curated""}",curated
relation:passage:frank:de:discusses:unknowable,DISCUSSES,passage:frank:nepostizhimoe:summary:de,concept:unknowable,"{""extraction_method"":""editorial"",""confidence"":0.9,""review_status"":""curated""}",curated
relation:concept:docta:related:absolute,CONCEPTUALLY_RELATED_TO,concept:docta-ignorantia,concept:absolute,"{""relation_type"":""epistemic_limit_and_absolute"",""asserted_by"":""curator"",""evidence_passage_ids"":[""passage:cusanus:ddi:1.1:la"",""passage:cusanus:ddi:1.4:la""],""evidence_source_ids"":[""source:cusanus:opera-omnia-1932""],""claim_language"":""en"",""confidence"":0.75,""review_status"":""candidate"",""created_at"":""2026-09-13T00:00:00Z"",""updated_at"":""2026-09-13T00:00:00Z""}",candidate
relation:concept:coincidentia:related:absolute,CONCEPTUALLY_RELATED_TO,concept:coincidentia-oppositorum,concept:absolute,"{""relation_type"":""maximum_minimum_coincidence"",""asserted_by"":""curator"",""evidence_passage_ids"":[""passage:cusanus:ddi:1.4:la""],""evidence_source_ids"":[""source:cusanus:opera-omnia-1932""],""claim_language"":""la"",""confidence"":0.9,""review_status"":""reviewed"",""created_at"":""2026-09-13T00:00:00Z"",""updated_at"":""2026-09-13T00:00:00Z""}",reviewed
